rim,tire,rim_mm,tire_mm,diameter_mm,circumference_mm
650b/27.5,40mm,584,40.00,664.00,2086.02
650b/27.5,42mm,584,42.00,668.00,2098.58
650b/27.5,44mm,584,44.00,672.00,2111.15
650b/27.5,45mm,584,45.00,674.00,2117.43
650b/27.5,50mm,584,50.00,684.00,2148.85
650b/27.5,56mm,584,56.00,696.00,2186.55
650b/27.5,1.00inch,584,25.40,634.80,1994.28
650b/27.5,1.25inch,584,31.75,647.50,2034.18
650b/27.5,1.35inch,584,34.29,652.58,2050.14
650b/27.5,1.40inch,584,35.56,655.12,2058.12
650b/27.5,1.50inch,584,38.10,660.20,2074.08
650b/27.5,1.75inch,584,44.45,672.90,2113.98
650b/27.5,1.90inch,584,48.26,680.52,2137.92
650b/27.5,1.95inch,584,49.50,683.00,2145.71
650b/27.5,2.00inch,584,50.80,685.60,2153.88
650b/27.5,2.10inch,584,53.34,690.68,2169.84
650b/27.5,2.125inch,584,54.00,692.00,2173.98
650b/27.5,2.20inch,584,55.88,695.76,2185.79
650b/27.5,2.25inch,584,57.15,698.30,2193.77
650b/27.5,2.30inch,584,58.42,700.84,2201.75
650b/27.5,2.35inch,584,59.69,703.38,2209.73
650b/27.5,2.40inch,584,60.96,705.92,2217.71
650b/27.5,2.50inch,584,63.50,711.00,2233.67
650b/27.5,2.60inch,584,66.04,716.08,2249.63
650b/27.5,2.75inch,584,69.85,723.70,2273.57
650b/27.5,2.80inch,584,71.12,726.24,2281.55
650b/27.5,3.00inch,584,76.20,736.40,2313.47
650b/27.5,3.80inch,584,96.52,777.04,2441.14
650b/27.5,4.00inch,584,101.60,787.20,2473.06
650b/27.5,4.25inch,584,107.95,799.90,2512.96
650b/27.5,4.50inch,584,114.30,812.60,2552.86
650b/27.5,4.60inch,584,116.84,817.68,2568.82
650b/27.5,4.70inch,584,119.38,822.76,2584.78
650b/27.5,4.80inch,584,121.92,827.84,2600.74
650b/27.5,4.90inch,584,124.46,832.92,2616.70
650c,20mm,571,20.00,611.00,1919.51
650c,23mm,571,23.00,617.00,1938.36
650c,25mm,571,25.00,621.00,1950.93
650c,26mm,571,26.00,623.00,1957.21
650c,27mm,571,27.00,625.00,1963.50
650c,28mm,571,28.00,627.00,1969.78
650c,30mm,571,30.00,631.00,1982.34
650c,32mm,571,32.00,635.00,1994.91
650c,35mm,571,35.00,641.00,2013.76
650c,37mm,571,37.00,645.00,2026.33
650c,38mm,571,38.00,647.00,2032.61
650c,40mm,571,40.00,651.00,2045.18
650c,42mm,571,42.00,655.00,2057.74
650c,44mm,571,44.00,659.00,2070.31
650c,45mm,571,45.00,661.00,2076.59
650c,50mm,571,50.00,671.00,2108.01
650c,56mm,571,56.00,683.00,2145.71
650c,1.00inch,571,25.40,621.80,1953.44
650c,1.25inch,571,31.75,634.50,1993.34
650c,1.35inch,571,34.29,639.58,2009.30
650c,1.40inch,571,35.56,642.12,2017.28
650c,1.50inch,571,38.10,647.20,2033.24
650c,1.75inch,571,44.45,659.90,2073.14
650c,1.90inch,571,48.26,667.52,2097.08
650c,1.95inch,571,49.50,670.00,2104.87
650c,2.00inch,571,50.80,672.60,2113.04
650c,2.10inch,571,53.34,677.68,2128.99
650c,2.125inch,571,54.00,679.00,2133.14
650c,2.20inch,571,55.88,682.76,2144.95
650c,2.25inch,571,57.15,685.30,2152.93
650c,2.30inch,571,58.42,687.84,2160.91
650c,2.35inch,571,59.69,690.38,2168.89
650c,2.40inch,571,60.96,692.92,2176.87
650c,2.50inch,571,63.50,698.00,2192.83
650c,2.60inch,571,66.04,703.08,2208.79
650c,2.75inch,571,69.85,710.70,2232.73
650c,2.80inch,571,71.12,713.24,2240.71
650c,3.00inch,571,76.20,723.40,2272.63
650c,3.80inch,571,96.52,764.04,2400.30
650c,4.00inch,571,101.60,774.20,2432.22
650c,4.25inch,571,107.95,786.90,2472.12
650c,4.50inch,571,114.30,799.60,2512.02
650c,4.60inch,571,116.84,804.68,2527.98
650c,4.70inch,571,119.38,809.76,2543.94
650c,4.80inch,571,121.92,814.84,2559.90
650c,4.90inch,571,124.46,819.92,2575.85
26inchmtb,20mm,559,20.00,599.00,1881.81
26inchmtb,23mm,559,23.00,605.00,1900.66
26inchmtb,25mm,559,25.00,609.00,1913.23
26inchmtb,26mm,559,26.00,611.00,1919.51
26inchmtb,27mm,559,27.00,613.00,1925.80
26inchmtb,28mm,559,28.00,615.00,1932.08
26inchmtb,30mm,559,30.00,619.00,1944.65
26inchmtb,32mm,559,32.00,623.00,1957.21
26inchmtb,35mm,559,35.00,629.00,1976.06
26inchmtb,37mm,559,37.00,633.00,1988.63
26inchmtb,38mm,559,38.00,635.00,1994.91
26inchmtb,40mm,559,40.00,639.00,2007.48
26inchmtb,42mm,559,42.00,643.00,2020.04
26inchmtb,44mm,559,44.00,647.00,2032.61
26inchmtb,45mm,559,45.00,649.00,2038.89
26inchmtb,50mm,559,50.00,659.00,2070.31
26inchmtb,56mm,559,56.00,671.00,2108.01
26inchmtb,1.00inch,559,25.40,609.80,1915.74
26inchmtb,1.25inch,559,31.75,622.50,1955.64
26inchmtb,1.35inch,559,34.29,627.58,1971.60
26inchmtb,1.40inch,559,35.56,630.12,1979.58
26inchmtb,1.50inch,559,38.10,635.20,1995.54
26inchmtb,1.75inch,559,44.45,647.90,2035.44
26inchmtb,1.90inch,559,48.26,655.52,2059.38
26inchmtb,1.95inch,559,49.50,658.00,2067.17
26inchmtb,2.00inch,559,50.80,660.60,2075.34
26inchmtb,2.10inch,559,53.34,665.68,2091.30
26inchmtb,2.125inch,559,54.00,667.00,2095.44
26inchmtb,2.20inch,559,55.88,670.76,2107.25
26inchmtb,2.25inch,559,57.15,673.30,2115.23
26inchmtb,2.30inch,559,58.42,675.84,2123.21
26inchmtb,2.35inch,559,59.69,678.38,2131.19
26inchmtb,2.40inch,559,60.96,680.92,2139.17
26inchmtb,2.50inch,559,63.50,686.00,2155.13
26inchmtb,2.60inch,559,66.04,691.08,2171.09
26inchmtb,2.75inch,559,69.85,698.70,2195.03
26inchmtb,2.80inch,559,71.12,701.24,2203.01
26inchmtb,3.00inch,559,76.20,711.40,2234.93
26inchmtb,3.80inch,559,96.52,752.04,2362.60
26inchmtb,4.00inch,559,101.60,762.20,2394.52
26inchmtb,4.25inch,559,107.95,774.90,2434.42
26inchmtb,4.50inch,559,114.30,787.60,2474.32
26inchmtb,4.60inch,559,116.84,792.68,2490.28
26inchmtb,4.70inch,559,119.38,797.76,2506.24
26inchmtb,4.80inch,559,121.92,802.84,2522.20
26inchmtb,4.90inch,559,124.46,807.92,2538.16
24inchS5,20mm,547,20.00,587.00,1844.11
24inchS5,23mm,547,23.00,593.00,1862.96
24inchS5,25mm,547,25.00,597.00,1875.53
24inchS5,26mm,547,26.00,599.00,1881.81
24inchS5,27mm,547,27.00,601.00,1888.10
24inchS5,28mm,547,28.00,603.00,1894.38
24inchS5,30mm,547,30.00,607.00,1906.95
24inchS5,32mm,547,32.00,611.00,1919.51
24inchS5,35mm,547,35.00,617.00,1938.36
24inchS5,37mm,547,37.00,621.00,1950.93
24inchS5,38mm,547,38.00,623.00,1957.21
24inchS5,40mm,547,40.00,627.00,1969.78
24inchS5,42mm,547,42.00,631.00,1982.34
24inchS5,44mm,547,44.00,635.00,1994.91
24inchS5,45mm,547,45.00,637.00,2001.19
24inchS5,50mm,547,50.00,647.00,2032.61
24inchS5,56mm,547,56.00,659.00,2070.31
24inchS5,1.00inch,547,25.40,597.80,1878.04
24inchS5,1.25inch,547,31.75,610.50,1917.94
24inchS5,1.35inch,547,34.29,615.58,1933.90
24inchS5,1.40inch,547,35.56,618.12,1941.88
24inchS5,1.50inch,547,38.10,623.20,1957.84
24inchS5,1.75inch,547,44.45,635.90,1997.74
24inchS5,1.90inch,547,48.26,643.52,2021.68
24inchS5,1.95inch,547,49.50,646.00,2029.47
24inchS5,2.00inch,547,50.80,648.60,2037.64
24inchS5,2.10inch,547,53.34,653.68,2053.60
24inchS5,2.125inch,547,54.00,655.00,2057.74
24inchS5,2.20inch,547,55.88,658.76,2069.56
24inchS5,2.25inch,547,57.15,661.30,2077.54
24inchS5,2.30inch,547,58.42,663.84,2085.51
24inchS5,2.35inch,547,59.69,666.38,2093.49
24inchS5,2.40inch,547,60.96,668.92,2101.47
24inchS5,2.50inch,547,63.50,674.00,2117.43
24inchS5,2.60inch,547,66.04,679.08,2133.39
24inchS5,2.75inch,547,69.85,686.70,2157.33
24inchS5,2.80inch,547,71.12,689.24,2165.31
24inchS5,3.00inch,547,76.20,699.40,2197.23
24inchS5,3.80inch,547,96.52,740.04,2324.90
24inchS5,4.00inch,547,101.60,750.20,2356.82
24inchS5,4.25inch,547,107.95,762.90,2396.72
24inchS5,4.50inch,547,114.30,775.60,2436.62
24inchS5,4.60inch,547,116.84,780.68,2452.58
24inchS5,4.70inch,547,119.38,785.76,2468.54
24inchS5,4.80inch,547,121.92,790.84,2484.50
24inchS5,4.90inch,547,124.46,795.92,2500.46
24inchE6,20mm,540,20.00,580.00,1822.12
24inchE6,23mm,540,23.00,586.00,1840.97
24inchE6,25mm,540,25.00,590.00,1853.54
24inchE6,26mm,540,26.00,592.00,1859.82
24inchE6,27mm,540,27.00,594.00,1866.11
24inchE6,28mm,540,28.00,596.00,1872.39
24inchE6,30mm,540,30.00,600.00,1884.96
24inchE6,32mm,540,32.00,604.00,1897.52
24inchE6,35mm,540,35.00,610.00,1916.37
24inchE6,37mm,540,37.00,614.00,1928.94
24inchE6,38mm,540,38.00,616.00,1935.22
24inchE6,40mm,540,40.00,620.00,1947.79
24inchE6,42mm,540,42.00,624.00,1960.35
24inchE6,44mm,540,44.00,628.00,1972.92
24inchE6,45mm,540,45.00,630.00,1979.20
24inchE6,50mm,540,50.00,640.00,2010.62
24inchE6,56mm,540,56.00,652.00,2048.32
24inchE6,1.00inch,540,25.40,590.80,1856.05
24inchE6,1.25inch,540,31.75,603.50,1895.95
24inchE6,1.35inch,540,34.29,608.58,1911.91
24inchE6,1.40inch,540,35.56,611.12,1919.89
24inchE6,1.50inch,540,38.10,616.20,1935.85
24inchE6,1.75inch,540,44.45,628.90,1975.75
24inchE6,1.90inch,540,48.26,636.52,1999.69
24inchE6,1.95inch,540,49.50,639.00,2007.48
24inchE6,2.00inch,540,50.80,641.60,2015.65
24inchE6,2.10inch,540,53.34,646.68,2031.61
24inchE6,2.125inch,540,54.00,648.00,2035.75
24inchE6,2.20inch,540,55.88,651.76,2047.56
24inchE6,2.25inch,540,57.15,654.30,2055.54
24inchE6,2.30inch,540,58.42,656.84,2063.52
24inchE6,2.35inch,540,59.69,659.38,2071.50
24inchE6,2.40inch,540,60.96,661.92,2079.48
24inchE6,2.50inch,540,63.50,667.00,2095.44
24inchE6,2.60inch,540,66.04,672.08,2111.40
24inchE6,2.75inch,540,69.85,679.70,2135.34
24inchE6,2.80inch,540,71.12,682.24,2143.32
24inchE6,3.00inch,540,76.20,692.40,2175.24
24inchE6,3.80inch,540,96.52,733.04,2302.91
24inchE6,4.00inch,540,101.60,743.20,2334.83
24inchE6,4.25inch,540,107.95,755.90,2374.73
24inchE6,4.50inch,540,114.30,768.60,2414.63
24inchE6,4.60inch,540,116.84,773.68,2430.59
24inchE6,4.70inch,540,119.38,778.76,2446.55
24inchE6,4.80inch,540,121.92,783.84,2462.51
24inchE6,4.90inch,540,124.46,788.92,2478.47
24inchTerry,20mm,520,20.00,560.00,1759.29
24inchTerry,23mm,520,23.00,566.00,1778.14
24inchTerry,25mm,520,25.00,570.00,1790.71
24inchTerry,26mm,520,26.00,572.00,1796.99
24inchTerry,27mm,520,27.00,574.00,1803.27
24inchTerry,28mm,520,28.00,576.00,1809.56
24inchTerry,30mm,520,30.00,580.00,1822.12
24inchTerry,32mm,520,32.00,584.00,1834.69
24inchTerry,35mm,520,35.00,590.00,1853.54
24inchTerry,37mm,520,37.00,594.00,1866.11
24inchTerry,38mm,520,38.00,596.00,1872.39
24inchTerry,40mm,520,40.00,600.00,1884.96
24inchTerry,42mm,520,42.00,604.00,1897.52
24inchTerry,44mm,520,44.00,608.00,1910.09
24inchTerry,45mm,520,45.00,610.00,1916.37
24inchTerry,50mm,520,50.00,620.00,1947.79
24inchTerry,56mm,520,56.00,632.00,1985.49
24inchTerry,1.00inch,520,25.40,570.80,1793.22
24inchTerry,1.25inch,520,31.75,583.50,1833.12
24inchTerry,1.35inch,520,34.29,588.58,1849.08
24inchTerry,1.40inch,520,35.56,591.12,1857.06
24inchTerry,1.50inch,520,38.10,596.20,1873.02
24inchTerry,1.75inch,520,44.45,608.90,1912.92
24inchTerry,1.90inch,520,48.26,616.52,1936.85
24inchTerry,1.95inch,520,49.50,619.00,1944.65
24inchTerry,2.00inch,520,50.80,621.60,1952.81
24inchTerry,2.10inch,520,53.34,626.68,1968.77
24inchTerry,2.125inch,520,54.00,628.00,1972.92
24inchTerry,2.20inch,520,55.88,631.76,1984.73
24inchTerry,2.25inch,520,57.15,634.30,1992.71
24inchTerry,2.30inch,520,58.42,636.84,2000.69
24inchTerry,2.35inch,520,59.69,639.38,2008.67
24inchTerry,2.40inch,520,60.96,641.92,2016.65
24inchTerry,2.50inch,520,63.50,647.00,2032.61
24inchTerry,2.60inch,520,66.04,652.08,2048.57
24inchTerry,2.75inch,520,69.85,659.70,2072.51
24inchTerry,2.80inch,520,71.12,662.24,2080.49
24inchTerry,3.00inch,520,76.20,672.40,2112.41
24inchTerry,3.80inch,520,96.52,713.04,2240.08
24inchTerry,4.00inch,520,101.60,723.20,2272.00
24inchTerry,4.25inch,520,107.95,735.90,2311.90
24inchTerry,4.50inch,520,114.30,748.60,2351.80
24inchTerry,4.60inch,520,116.84,753.68,2367.76
24inchTerry,4.70inch,520,119.38,758.76,2383.71
24inchTerry,4.80inch,520,121.92,763.84,2399.67
24inchTerry,4.90inch,520,124.46,768.92,2415.63
24inchMTB/BMX,20mm,507,20.00,547.00,1718.45
24inchMTB/BMX,23mm,507,23.00,553.00,1737.30
24inchMTB/BMX,25mm,507,25.00,557.00,1749.87
24inchMTB/BMX,26mm,507,26.00,559.00,1756.15
24inchMTB/BMX,27mm,507,27.00,561.00,1762.43
24inchMTB/BMX,28mm,507,28.00,563.00,1768.72
24inchMTB/BMX,30mm,507,30.00,567.00,1781.28
24inchMTB/BMX,32mm,507,32.00,571.00,1793.85
24inchMTB/BMX,35mm,507,35.00,577.00,1812.70
24inchMTB/BMX,37mm,507,37.00,581.00,1825.27
24inchMTB/BMX,38mm,507,38.00,583.00,1831.55
24inchMTB/BMX,40mm,507,40.00,587.00,1844.11
24inchMTB/BMX,42mm,507,42.00,591.00,1856.68
24inchMTB/BMX,44mm,507,44.00,595.00,1869.25
24inchMTB/BMX,45mm,507,45.00,597.00,1875.53
24inchMTB/BMX,50mm,507,50.00,607.00,1906.95
24inchMTB/BMX,56mm,507,56.00,619.00,1944.65
24inchMTB/BMX,1.00inch,507,25.40,557.80,1752.38
24inchMTB/BMX,1.25inch,507,31.75,570.50,1792.28
24inchMTB/BMX,1.35inch,507,34.29,575.58,1808.24
24inchMTB/BMX,1.40inch,507,35.56,578.12,1816.22
24inchMTB/BMX,1.50inch,507,38.10,583.20,1832.18
24inchMTB/BMX,1.75inch,507,44.45,595.90,1872.08
24inchMTB/BMX,1.90inch,507,48.26,603.52,1896.01
24inchMTB/BMX,1.95inch,507,49.50,606.00,1903.81
24inchMTB/BMX,2.00inch,507,50.80,608.60,1911.97
24inchMTB/BMX,2.10inch,507,53.34,613.68,1927.93
24inchMTB/BMX,2.125inch,507,54.00,615.00,1932.08
24inchMTB/BMX,2.20inch,507,55.88,618.76,1943.89
24inchMTB/BMX,2.25inch,507,57.15,621.30,1951.87
24inchMTB/BMX,2.30inch,507,58.42,623.84,1959.85
24inchMTB/BMX,2.35inch,507,59.69,626.38,1967.83
24inchMTB/BMX,2.40inch,507,60.96,628.92,1975.81
24inchMTB/BMX,2.50inch,507,63.50,634.00,1991.77
24inchMTB/BMX,2.60inch,507,66.04,639.08,2007.73
24inchMTB/BMX,2.75inch,507,69.85,646.70,2031.67
24inchMTB/BMX,2.80inch,507,71.12,649.24,2039.65
24inchMTB/BMX,3.00inch,507,76.20,659.40,2071.57
24inchMTB/BMX,3.80inch,507,96.52,700.04,2199.24
24inchMTB/BMX,4.00inch,507,101.60,710.20,2231.16
24inchMTB/BMX,4.25inch,507,107.95,722.90,2271.06
24inchMTB/BMX,4.50inch,507,114.30,735.60,2310.96
24inchMTB/BMX,4.60inch,507,116.84,740.68,2326.91
24inchMTB/BMX,4.70inch,507,119.38,745.76,2342.87
24inchMTB/BMX,4.80inch,507,121.92,750.84,2358.83
24inchMTB/BMX,4.90inch,507,124.46,755.92,2374.79
20inchRecumbent,20mm,451,20.00,491.00,1542.52
20inchRecumbent,23mm,451,23.00,497.00,1561.37
20inchRecumbent,25mm,451,25.00,501.00,1573.94
20inchRecumbent,26mm,451,26.00,503.00,1580.22
20inchRecumbent,27mm,451,27.00,505.00,1586.50
20inchRecumbent,28mm,451,28.00,507.00,1592.79
20inchRecumbent,30mm,451,30.00,511.00,1605.35
20inchRecumbent,32mm,451,32.00,515.00,1617.92
20inchRecumbent,35mm,451,35.00,521.00,1636.77
20inchRecumbent,37mm,451,37.00,525.00,1649.34
20inchRecumbent,38mm,451,38.00,527.00,1655.62
20inchRecumbent,40mm,451,40.00,531.00,1668.19
20inchRecumbent,42mm,451,42.00,535.00,1680.75
20inchRecumbent,44mm,451,44.00,539.00,1693.32
20inchRecumbent,45mm,451,45.00,541.00,1699.60
20inchRecumbent,50mm,451,50.00,551.00,1731.02
20inchRecumbent,56mm,451,56.00,563.00,1768.72
20inchRecumbent,1.00inch,451,25.40,501.80,1576.45
20inchRecumbent,1.25inch,451,31.75,514.50,1616.35
20inchRecumbent,1.35inch,451,34.29,519.58,1632.31
20inchRecumbent,1.40inch,451,35.56,522.12,1640.29
20inchRecumbent,1.50inch,451,38.10,527.20,1656.25
20inchRecumbent,1.75inch,451,44.45,539.90,1696.15
20inchRecumbent,1.90inch,451,48.26,547.52,1720.08
20inchRecumbent,1.95inch,451,49.50,550.00,1727.88
20inchRecumbent,2.00inch,451,50.80,552.60,1736.04
20inchRecumbent,2.10inch,451,53.34,557.68,1752.00
20inchRecumbent,2.125inch,451,54.00,559.00,1756.15
20inchRecumbent,2.20inch,451,55.88,562.76,1767.96
20inchRecumbent,2.25inch,451,57.15,565.30,1775.94
20inchRecumbent,2.30inch,451,58.42,567.84,1783.92
20inchRecumbent,2.35inch,451,59.69,570.38,1791.90
20inchRecumbent,2.40inch,451,60.96,572.92,1799.88
20inchRecumbent,2.50inch,451,63.50,578.00,1815.84
20inchRecumbent,2.60inch,451,66.04,583.08,1831.80
20inchRecumbent,2.75inch,451,69.85,590.70,1855.74
20inchRecumbent,2.80inch,451,71.12,593.24,1863.72
20inchRecumbent,3.00inch,451,76.20,603.40,1895.64
20inchRecumbent,3.80inch,451,96.52,644.04,2023.31
20inchRecumbent,4.00inch,451,101.60,654.20,2055.23
20inchRecumbent,4.25inch,451,107.95,666.90,2095.13
20inchRecumbent,4.50inch,451,114.30,679.60,2135.03
20inchRecumbent,4.60inch,451,116.84,684.68,2150.99
20inchRecumbent,4.70inch,451,119.38,689.76,2166.94
20inchRecumbent,4.80inch,451,121.92,694.84,2182.90
20inchRecumbent,4.90inch,451,124.46,699.92,2198.86
20inchSchwinn,20mm,419,20.00,459.00,1441.99
20inchSchwinn,23mm,419,23.00,465.00,1460.84
20inchSchwinn,25mm,419,25.00,469.00,1473.41
20inchSchwinn,26mm,419,26.00,471.00,1479.69
20inchSchwinn,27mm,419,27.00,473.00,1485.97
20inchSchwinn,28mm,419,28.00,475.00,1492.26
20inchSchwinn,30mm,419,30.00,479.00,1504.82
20inchSchwinn,32mm,419,32.00,483.00,1517.39
20inchSchwinn,35mm,419,35.00,489.00,1536.24
20inchSchwinn,37mm,419,37.00,493.00,1548.81
20inchSchwinn,38mm,419,38.00,495.00,1555.09
20inchSchwinn,40mm,419,40.00,499.00,1567.65
20inchSchwinn,42mm,419,42.00,503.00,1580.22
20inchSchwinn,44mm,419,44.00,507.00,1592.79
20inchSchwinn,45mm,419,45.00,509.00,1599.07
20inchSchwinn,50mm,419,50.00,519.00,1630.49
